,word
李多慧,659
啦啦隊,442
台灣,404
樂天,291
韓國,256
林襄,157
女孩,143
李多惠,120
跳舞,99
八卦,89
粉絲,85
看到,85
女神,81
媒體,80
舞蹈,80
影片,75
加入,70
人氣,69
桃猿,67
多慧,66
應援,63
今天,54
成員,52
記者,50
球迷,50
身材,49
網友,48
南韓,45
來台,42
球場,41
一堆,38
Rakuten,38
棒球,38
表示,37
Girls,36
高虹安,35
發現,33
台女,33
登場,33
剛剛,32
喜歡,32
中職,31
IG,31
女生,31
今年,31
實力,30
可愛,30
桃園,30
職棒,30
啦啦隊員,30
女團,29
一直,29
洋將,29
討論,29
日本,29
加盟,29
發展,28
霸凌,28
好像,28
學姊,27
照片,27
這種,27
宣布,27
表演,27
希望,26
多惠,25
球員,25
比賽,25
最近,25
鄉民,24
一點,24
直接,23
昨天,23
起亞虎,23
支持,23
關注,22
肥宅,22
藝人,22
認為,22
韓職,21
厲害,21
主場,21
文章,21
期待,21
球團,21
阿肥,20
那種,20
擔任,20
想到,20
Lee,20
最後,19
Dahye,19
兩人,19
等級,19
最頂,19
留言,18
問題,18
背號,18
工作,18
邀請,18
選擇,18
曝光,18
30,18
成為,18
兩個,18
中信,18
快樂,18
之後,17
明顯,17
球隊,17
老婆,17
活動,17
重磅,17
台灣人,17
笑容,17
日前,17
透露,17
年輕,17
學妹,17
多會,17
學姐,16
屁股,16
機會,16
舞技,16
進場,16
關係,16
掀起,16
吸引,16
時間,16
好看,16
加油,16
中文,16
熱舞,16
以前,15
每個,15
排擠,15
練習生,15
漂亮,15
要來,15
練舞,15
突然,15
頻道,15
引起,15
對此,15
籃籃,15
聽說,15
魔獸,15
鏡頭,15
棒球場,15
分享,15
很會,15
合作,15
準備,15
大砲,14
現場,14
消息,14
魅力,14
公司,14
戴口罩,14
發文,14
夜市,14
圈圈,14
甜美,14
節目,14
兄弟,14
隊友,14
變成,14
牛仔褲,14
正式,14
33,14
世界,14
轉發,14
明星,14
完全,14
美女,13
人數,13
穿著,13
話題,13
好奇,13
旗下,13
看完,13
本來,13
台韓,13
制服,13
口罩,13
還好,13
中心,13
中華職棒,13
接受,13
幾個,13
參加,12
看看,12
團隊,12
顏值,12
動態,12
動作,12
能夠,12
看過,12
緊身,12
認識,12
團體,12
網路,12
一場,12
韓國人,12
19,12
性感,11
外表,11
旁邊,11
成功,11
這幾天,11
回應,11
經典賽,11
追蹤,11
風采,11
館長,11
水準,11
小優,11
隨便,11
隊長,11
擁有,11
展現,11
去年,11
朋友,11
不錯,11
浦韋青,11
太多,11
想要,11
先前,11
下面,10
好可愛,10
長相,10
引發,10
女孩兒,10
繼續,10
虹安,10
故事,10
開心,10
一次,10
遇到,10
版面,10
Yuri,10
驚人,10
拍照,10
海外,10
籃球,10
相信,10
旋風,10
尤其,10
領隊,10
重要,10
無法,10
適合,10
需要,10
今日,10
17,10
熱議,10
拉拉,10
爆紅,10
慈妹,10
看球,10
生活,10
代表,10
身高,10
不用,10
未來,10
關心,10
最強,10
職業,10
莎莎,10
互動,10
臉蛋,10
扭腰,9
觀看,9
表情,9
實在,9
好了,9
陳子豪,9
滿滿,9
經紀人,9
超強,9
女人,9
代言,9
炸裂,9
同台,9
事情,9
見面,9
反正,9
兩位,9
欺負,9
團員,9
原來,9
歡迎,9
小妹,9
韓籍,9
畫面,9
消失,9
這位,9
真心,9
隊員,9
來到,9
興奮,9
平常,9
特別,9
手機,9
全台,9
超會,9
簽下,9
外援,9
氣質,9
眼睛,9
下去,9
方面,9
感到,9
黑色,9
重點,9
男生,9
律師,9
初登板,9
決定,9
提供,9
透過,9
專業,9
貼文,9
限時,9
中國,9
打算,8
BLACKPINK,8
QQ,8
奶茶,8
24,8
萬人,8
簡單,8
多久,8
家人,8
身體,8
結束,8
認真,8
ig,8
演唱會,8
襄襄,8
過去,8
努力,8
迎來,8
大腿,8
應援舞,8
企鵝,8
表現,8
流量,8
下午,8
退團,8
16,8
珍珠,8
搭配,8
程度,8
還在,8
經紀,8
味全龍,8
男性,8
只能,8
年紀,8
出生,8
提到,8
造成,8
知名,8
一位,8
雙方,8
觀眾,8
李昀,8
底子,8
謝謝,8
凱伊,8
溫妮,8
演出,8
裡面,8
出現,8
意思,8
男人,8
運動,8
妹子,8
健康操,8
禮拜,8
登上,8
跨海,8
直播,8
新聞網,8
亞洲,8
相關,8
舞台,8
地位,8
本土,8
真實,8
國家,8
整個,8
碾壓,7
80,7
安安,7
本質,7
強調,7
尊重,7
明明,7
語言,7
生日,7
高雄,7
意外,7
確實,7
貼出,7
禹菡,7
習近平,7
擺臀,7
知名度,7
預計,7
82,7
地方,7
則是,7
李明,7
近日,7
只會,7
導致,7
沒想到,7
有掛,7
12,7
藍藍,7
介紹,7
學習,7
文化,7
夥伴,7
有夠,7
離開,7
位置,7
拿來,7
女友,7
短短,7
嘴巴,7
外國人,7
那麼多,7
超過,7
空降,7
熱情,7
國際,7
周子瑜,7
球賽,7
得罪,7
感受,7
演藝圈,7
台北,7
keys,7
匿名,7
限動,7
15,7
眼神,7
欣賞,7
回來,7
能力,7
抵達,7
問到,7
22,7
同一,7
原因,7
身為,7
愛莉,7
美國,7
PO,7
發生,7
長高,7
公布,7
新竹市,7
大物,7
市長,6
總監,6
接近,6
了解,6
職籃,6
號稱,6
東西,6
50,6
操作,6
如出一轍,6
終於,6
相機,6
廠商,6
情況,6
陣容,6
路線,6
出道,6
琳妲,6
融化,6
露出,6
累積,6
過譽,6
歐巴,6
差距,6
搶走,6
可惜,6
肯定,6
不爽,6
記者會,6
抽菸,6
轟動,6
32,6
練習,6
臺灣,6
提升,6
Kira,6
體育,6
看多,6
孟潔,6
親切,6
大人,6
網羅,6
發電,6
群組,6
週五,6
堅持,6
兩國,6
領域,6
見到,6
見后,6
似乎,6
還可以,6
嚇壞,6
愛心,6
身穿,6
請問,6
PTT,6
首秀,6
秀出,6
桃猿隊,6
抵台,6
PR,6
梁赫群,6
也許,6
Attenti,6
說真的,6
整形,6
個性,6
證明,6
容易,6
身邊,6
主角,6
交往,6
小心,6
表達,6
po,6
邀約,6
不像,6
去當,6
21,6
近期,6
菜鳥,6
馬達,6
粉專,6
外貌,6
票房,6
以外,6
蓋過,6
中場,6
到場,6
震撼,6
無敵,6
算是,6
沒什麼,6
觀眾席,6
很紅,6
持續,6
肢體,6
唯一,6
正常,6
啦啦隊長,6
女性,6
公關,6
樣子,6
阿姨,6
男朋友,6
YT,6
定居,6
賣力,6
土風舞,5
頭髮,5
上班,5
發言,5
眾多,5
民眾,5
高虹,5
未滿,5
一團,5
經驗,5
學長,5
ptt,5
幸運,5
政治,5
律動,5
一波,5
不正,5
瘋狂,5
當天,5
aka,5
登台,5
告訴,5
友善,5
每天,5
公開,5
夜店,5
觀光,5
一群,5
畢業,5
姐姐,5
回不去,5
到時候,5
物價,5
政府,5
處男,5
肥肥,5
更多,5
廣告,5
衣服,5
收到,5
對抗,5
上面,5
辦法,5
當成,5
自由時報,5
直呼,5
寶貝,5
男友,5
這麼多,5
小弟,5
薪水,5
還沒,5
拍子,5
女朋友,5
力道,5
只好,5
名單,5
音樂,5
後面,5
將在,5
林婷,5
所謂,5
那一,5
離職,5
36,5
天王,5
外型,5
合照,5
娛樂,5
棒球隊,5
之下,5
晚安,5
團長,5
老實說,5
擔心,5
復健,5
開訓,5
165,5
想必,5
追求,5
活力,5
一日,5
最愛,5
訪問,5
天花板,5
紛紛,5
斗內,5
韓妹,5
幹嘛,5
大咖,5
天團,5
周年,5
澄清,5
同樣,5
建議,5
整團,5
放電,5
前幾天,5
片段,5
焦點,5
最紅,5
更新,5
有多會,5
主義,5
帶來,5
1999,5
66,5
正妹,5
同隊,5
兩大,5
平均,5
分析,5
小孩,5
道歉,5
大批,5
晚上,5
事實,5
18,5
官方,5
通常,5
綜藝,5
細節,5
市場,5
心裡,5
回事,5
以後,5
競爭,5
接觸,5
注意,5
看法,5
週六,5
前面,5
不行,5
直言,5
魔鬼,5
優點,4
跳健康操,4
意淫,4
責任,4
很會搖,4
三場,4
內鬥,4
球衣,4
現實,4
曬出,4
交流,4
外星人,4
推薦,4
短今,4
不高,4
至少,4
背景,4
一看,4
批評,4
脫下,4
吸走,4
MLB,4
號的,4
景點,4
主持,4
電臀,4
年輕版,4
跳得,4
熱門,4
標準,4
小朋友,4
角度,4
相處,4
尚書,4
時期,4
不信,4
便當,4
點名,4
台積電,4
服裝,4
大量,4
全場,4
排班,4
溝通,4
最大,4
聽過,4
禮貌,4
25,4
進入,4
說明,4
彩香,4
節奏,4
中時,4
興趣,4
聊天,4
反應,4
挑戰,4
亮相,4
舞步,4
眼紅,4
號碼,4
足球隊,4
兩地,4
瞬間,4
天氣,4
退伍,4
答案,4
舒服,4
跑去,4
甜笑,4
88,4
史上,4
還不,4
排妹,4
球季,4
角色,4
臉書,4
貼貼,4
刺青,4
激烈,4
忘記,4
狒狒,4
社群,4
心韻,4
上傳,4
攝影,4
幸福,4
New,4
外界,4
Jeans,4
83,4
意見,4
林智群,4
有無,4
打招呼,4
降臨,4
社會,4
同事,4
要不要,4
統一,4
真正,4
幾年,4
放大,4
想法,4
引爆,4
買菸,4
隨即,4
有錢,4
不輸,4
整天,4
文明,4
絲襪,4
在場,4
環境,4
帳號,4
頂級,4
專訪,4
比不上,4
背後,4
想像,4
剛來,4
歐膩,4
班表,4
意義,4
皮膚,4
Irene,4
全州,4
企業,4
印象,4
退出,4
LINE,4
海放,4
嚴重,4
等於,4
臭豆腐,4
走到,4
傳出,4
配合,4
單眼,4
KPOP,4
聯名,4
WBC,4
待在,4
相似,4
重視,4
幾歲,4
隔天,4
狀況,4
一張,4
得到,4
SMA3460,4
穿搭,4
小時,4
日子,4
現役,4
兩邊,4
輸給,4
想當,4
1990,4
不敢,4
類型,4
普通,4
推文,4
庫存,4
開打,4
專屬,4
Instagram,4
符合,4
曉得,4
有什麼,4
民視,4
笑死,4
情人節,4
維護,4
還被,4
一口氣,4
幾天,4
店長,4
忍不住,4
有名,4
只見,4
刺激,4
同學,4
吳政,4
原芯,4
韓女,4
一大堆,4
買單,4
朝聖,4
舞風,4
檔次,4
原欣妤,4
不看,4
有個,4
買票,4
中年,4
面對,4
新球季,4
物化,4
條件,4
副隊長,4
反觀,4
菲菲,4
一篇,4
八卦版,4
舉行,4
階段,4
小籠包,4
感謝,4
問卦,4
可怕,4
輕鬆,4
高中,4
俏皮,4
全猿,4
跳到,4
沒人,4
新高,4
寫下,4
產生,4
舞者,4
包含,4
宅男,4
取代,4
開朗,4
特地,4
回到,4
芯芷軒,4
會有,4
陣子,3
難過,3
成軍,3
好歹,3
一睹,3
奇怪,3
吱吱,3
上衣,3
廣大,3
所有人,3
戰略,3
ASUS,3
暴動,3
中方,3
賺錢,3
和尚,3
不可能,3
我要,3
對著,3
纖細,3
體會,3
馬方,3
單場,3
戲劇,3
打爆,3
有趣,3
Sisters,3
馬來西亞,3
戰爭,3
之外,3
唱歌,3
李芷,3
選手,3
剛看,3
功力,3
中共,3
yo,3
驚艷,3
永遠,3
軍事,3
韓團,3
將於,3
Gossiping,3
Passi,3
一段,3
氣勢,3
精湛,3
DJ,3
金寶,3
陣營,3
思維,3
冷戰,3
依舊,3
搞笑,3
抵制,3
13,3
堅決,3
新血,3
初心,3
八卦板,3
訓練,3
看得,3
堅守,3
腋下,3
高齡,3
97,3
水漲船高,3
上漲,3
花錢,3
有著,3
蔓蔓,3
夏威夷,3
電價,3
核能,3
萬至,3
全世界,3
過程,3
後續,3
身分,3
火力,3
最高,3
受訪,3
演藝,3
廢文,3
願意,3
五月天,3
太好,3
方式,3
妹妹,3
不斷,3
笑說,3
Youtuber,3
鄭家純,3
比例,3
